"term","n_sources","n_definitions","sources_str","definitions_str","hierarchy_paths"
"subsidence","1","1","GCMD","The motion of a surface (usually, the Earth's surface) as it shifts downward relative to a datum such as sea-level","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBSIDENCE']"
"submergence","1","1","GCMD","To cover with water; inundate.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL PROCESSES -> SUBMERGENCE']"
"sublimation","1","1","GCMD","The process of phase transition from solid directly to vapor in the absence of melting.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR PROCESSES -> SUBLIMATION']"
"supergranulation","1","0","SWEET","","['Phenomena -> stellar phenomena -> supergranulation']"
"supersaturation","1","1","GCMD","In meteorology, the condition existing in a given portion of the atmosphere (or other space) when the relative humidity is greater than 100%, that is, when it contains more water vapor than is needed to produce saturation with respect to a plane surface of pure water or pure ice.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERIC WATER VAPOR -> WATER VAPOR PROCESSES -> SUPERSATURATION']"
"subduction","1","1","GCMD","The process that takes place at convergent boundaries by which one tectonic plate moves under another tectonic plate, sinking into the Earth's mantle, as the plates converge. A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> TECTONIC PROCESSES -> SUBDUCTION']"
"surface waves investigation and monitoring instrument","1","1","Global Change Master Directory (GCMD)","SWIM is a new CNES Ku-band radar instrument, manufactured by TAS (Thales Alenia Space), Toulouse, France; it is based on the technology of a spaceborne radar altimeter. SWIM is the first ever space radar concept that is mainly dedicated to the measurement of ocean waves directional spectra and surface wind velocities through multi-azimuth and multi-incidence observations. Orbiting on a 519 km sun-synchronous orbit, its multiple Ku-band (13.575 GHz) beams illuminating from nadir to 10º incidence and scanning the whole azimuth angles (0-360º) provide with a 180 km wide swath and a quasi global coverage of the planet between the latitudes of ±80º. Scientific requirements for wave measurements: The main objective of SWIM is to provide directional wave spectra. The products delivered to users shall reach the following accuracies: • Nadir measurements: - Accuracy on SWH (Significant Wave Height) better than 10% or 50 cm (maximum) - Accuracy on wind speed about ± 2 m/s or 10% (whichever is the larger). • Wave spectrum measurements (beams 6°, 8°, 10°): - Resolution cell of 70 x 90 km2 for wave spectra - Observable wavelengths of waves in (70 m, 500 m) with an accuracy from 10% to 20% - Azimuth resolution in wave propagation direction : 15° - Accuracy in wave spectrum level : 15% within the half wave energy bandwidth with respect to the peak. • Backscattering coefficient measurements: - Absolute accuracy of ±1dB, relative accuracy between beams ±0.1dB. Such a wide range of observations, requiring high-range resolution (about 20 m on the ground), have led to design an instrument whose architecture and technology goes beyond what has been done on altimeter and scatterometer implementations. The global coverage and the reduction of telemetry budgets have required performing onboard range compression. The variety of signals at different incidences, the impact of the complex moving geometry of observation and the required real-time signal processing have led to propose onboard complete digital range compression on backscattered 320 MHz bandwidth signals. The design of the onboard compression and processing resulted from a trade-off between the instrument high level performances required, the needed correction for geometrical effects such as range migrations and performance of the acquisition and tracking loops. The multi-azimuth multi-incidence observations requirements have led to design an ambitious antenna subsystem that rotates at 5.6 rpm while transmitting six high power RF signals towards tunable directions. This configuration allows a 180 km wide swath and a quasi global coverage of the planet between the latitudes of ±80º. • Real aperture radar SWIM instrument - Ku-band (320 MHz bandwidth) - On-board digital processing - 6 distinct beams between nadir and 10° incidence (0°, 2°, 4°, 6°, 8° and 10°) - Rotating antenna at 5.6 complete rotations/min.","['Surface Waves Investigation and Monitoring instrument']"
"table reef","1","1","GCMD","An isolated reef, approaching an atoll type, but without a lagoon.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> COASTAL LANDFORMS -> CORAL REEFS -> TABLE REEF']"
"system phenomena","1","0","Semantic Web for Earth and Environment Technology Ontology","","['system phenomena']"
"ultraviolet_radiation","1","1","Global Change Master Directory (GCMD)","A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm.","['ultraviolet_radiation']"
"synoptic antarctic shelf-slope interactions study","1","1","Global Change Master Directory (GCMD)","Short Title: SASSI Project URL: http://wocesoatlas.tamu.edu/sassi/ Proposal URL: http://classic.ipy.org/development/eoi/proposal-details.php?id=8 Short synoptic transects will be undertaken circumpolarly and will radiate outwards across the Antarctic continental shelf and slope. Transects will incorporate insofar as possible:* Closely-spaced full depth CTD/ADCP stations plus profiles of PAR irradiance, bio-optical properties and fluorescence (EoI 9, 57, 310, 573, 585, 596, 635, 911).* Collection throughout the water column at stations of water samples for tracer, chemical and biological analyses including oxygen isotopes, carbon parameters, inorganic and organic nutrients and trace gases, and for biomass on deck incubation experiments to evaluate auto and heterotrophic activities (EoI 9, 573, 585, 596, 635, 911).* Deployment of moored instruments along each transect to measure temperature, salinity, current velocities, sedimentary fluxes and sea level for at least one year (EoI 9, 57, 310, 573, 585, 596, 635).* Deployment on the shelf of autonomous water samplers to collect weekly samples for tracer analyses (EoI 9).* Deployment of ice-hardened surface ocean drifters across the coastal and slope break current systems, measuring temperature, salinity, sea level pressure and location (EoI 9, 310, 573).* Air-sea heat and freshwater flux and meteorological measurements (EoI 9, 573, 585).* Swath bathymetric surveys of the complex shelf and slope terrain, both to assess local circulation and mixing processes, and to detect geological/glaciological phenomena such as iceberg scour (EoI 9, 237, 310, 573, 596).* Sedimentological observations including coring and biostratigraphy (EoI 596, 635)* Turbulent mixing measurements (EoI 9, 310, 573).* Continuation of hydrographic sections poleward beneath ice shelves and/or sea ice using autonomous underwater vehicles (AUVs) such as Autosub (EoI 9) and hot-water drilled access holes (EoI 310).* Use of AUVs to measure sea ice thickness distribution on the Antarctic shelf and slope (EoI 57)* Use of autonomous underwater vehicles and/or instrumented pelagic marine mammals to penetrate beneath sea ice and ice shelves to measure hydrographic and dynamical properties (EoI 9, 585), marine geological, chemical and biological characteristics (EoI 237)Additionally:* We will deploy subsurface Lagrangian floats to be tracked acoustically beneath the seasonal sea ice throughout the winter (EoI 9, 485, 573, 596). These will provide profiles of temperature and salinity, and geographical location, every 10 days. Plans are already in hand to ensonify the Weddell Sea, the offshore region of the Wilkes-Adelie Land and the western margin of the Antarctic Peninsula, to enable use of such floats. Extension of this tracking network to other regions surrounding Antarctica will be undertaken through SASSI to provide polar coverage to the global Argo programme.* Visible, passive microwave and synthetic aperture radar remote sensing (EoI 57, 585, 911) will be used to assess the seasonal/interannual variability of circumpolar coastal polynyas and of phytoplankton biomass. SAR, passive microwave and Cryosat altimetry will allow large scale monitoring of sea ice.* Numerical models will be developed to quantitatively study heat & freshwater fluxes and water mass transformations, and impacts of large iceberg calving events (EoI 57), processes of exchange between ice shelves and the open ocean (EoI 232), tides (EoI 573), biogeochemical cycling of C, N and P (EoI 635), short-term mesoscale instabilities, mixing processes and mass transports associated with gravity plumes across sloping bathymetry (EoI 596). Coupled ice-ocean models (EoI 585) will be analysed, and will assist in developing parameterisation for climate models.* Hot-water drilling through floating ice shelves (EoI 232, 310) will allow sub-ice-shelf CTD profiling and mooring deployment, together with acoustic determinations of basal melt rate.","['Synoptic Antarctic Shelf-Slope Interactions Study']"
"synergy","1","0","SWEET","","['SystemPhenomena -> synergy']"
"symbiosis","1","1","GCMD","Symbiosis is the intimate living together or association of two kindsof organisms.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> SYMBIOSIS']"
"swells","1","1","GCMD","The long-period, undulating waves that propagate energy to greatdistances from the point of generation; the source of 'breakers' along thebeach.","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> SWELLS']"
"swell period","1","1","GCMD","This is the peak period in seconds of the swells. If more than one swell is present, this is the period of the swell containing the maximum energy.","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> SWELLS -> SWELL PERIOD']"
"swell height","1","1","GCMD","The estimated average height of the highest one-third of the swells. It is estimated from determining how the wave energy is distributed among various periods (frequencies), determining if a separate swell energy peak exists, and then, picking a frequency to separate swell and wind-waves. The swell height is calculated from the wave energies below the separation frequency.","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> SWELLS -> SWELL HEIGHT']"
"swell direction","1","1","GCMD","The direction that the swells are coming from. Direction is given on a 16 point compass scale.","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> SWELLS -> SWELL DIRECTION']"
"swamp","1","2","GCMD","An area of land that is always soaked with water; low, wet land that supports grass and trees. ;; An area of land that is always soaked with water; low, wet land that supports grass and trees. Swamps are wet areas that are normally covered by water all year and subject to drying out during the summer. The parameter Swamp may be colloquially interchanged with the parameter Marshes.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> SWAMP', 'EARTH SCIENCE -> LAND SURFACE -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL LANDFORMS -> SWAMP']"
"suspension","1","1","GCMD","A heterogeneous fluid containing solid particles that are sufficiently large for sedimentation.","['EARTH SCIENCE -> SOLID EARTH -> GEOMORPHIC LANDFORMS/PROCESSES -> FLUVIAL PROCESSES -> SUSPENSION']"
"survival rates","1","1","GCMD","Survival is the converse of mortality for an organism. Survival is a resultof a combination of factors that contribute toward successfulreproductive advantage and the ability to resist being killed or eaten byanother species.","['EARTH SCIENCE -> BIOSPHERE -> ECOLOGICAL DYNAMICS -> SPECIES/POPULATION INTERACTIONS -> SURVIVAL RATES']"
"ulysses flux gate magnetometer","1","1","Global Change Master Directory (GCMD)","A fundamental feature of the heliosphere is the three dimensional structure of the interplanetary magnetic field. The magnetic field investigation on Ulysses, the first space probe to explore the out-of-ecliptic and polar heliosphere, aims at determining the large scale features and gradients of the field, as well as the heliolatitude dependence of interplanetary phenomena so far only observed near the ecliptic plane. The Ulysses magnetometer uses two sensors, one a Vector Helium Magnetometer, the other a Fluxgate Magnetometer. Onboard data processing yields measurements of the magnetic field vector with a time resolution up to 2 vectors/second and a sensitivity of about l0 pT. Since the switch-on of the instrument in flight on 25 October l990, a steady stream of observations have been made, indicating that at this phase of the solar cycle the field is generally disturbed: several shock waves and a large number of discontinuities have been observed, as well as several periods with apparently intense wave activity. The paper gives a brief summary of the scientific objectives of the investigation, followed by a detailed description of the instrument and its characteristics. Examples of wave bursts, interplanetary shocks and crossings of the heliospheric current sheet are given to illustrate the observations made with the instrument. (Abstract from: A. Balogh et al., Astron. Astrophys. Suppl. Ser. 92, 221-236, 1992) For more information, see: http://www.sp.ph.ic.ac.uk/Ulysses/ and http://ulysses.jpl.nasa.gov/spacecraft/inst_vhm_fgm.html Group: Instrument_Details Entry_ID: FGM-U Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Magnetic Field/Electric Field Instruments Short_Name: FGM-U Long_Name: Ulysses Flux Gate Magnetometer End_Group Group: Associated_Platforms Short_Name: ULYSSES End_Group Online_Resource: http://www3.imperial.ac.uk/spat/research/space_missions/ulysses/magnetometer/instrument_description Online_Resource: http://ulysses-ops.jpl.esa.int/ulysses/archive/vhm_fgm.html Sample_Image: http://ulysses-ops.jpl.esa.int/ulysses/images/vhm.jpg Group: Instrument_Logistics Data_Rate: 50 kbps Instrument_Start_Date: 1990-10-06 Instrument_Owner: Imperial College, London End_Group End_Group","['Ulysses Flux Gate Magnetometer']"
"surface waves and tides","1","0","AGU Index Terms","","['Surface waves and tides']"
"unsigned current helicity","1","1","Heliophysics Events Knowledgebase","Total unsigned current helicity","['UnsignedCurrentHelicity']"
"surface waves and free oscillations","1","0","AGU Index Terms","","['Surface waves and free oscillations']"
"ulysses grb xray flare catalog","1","1","HELIO Ontology","Ulysses/GRB X-ray Flare List","['UlyssesGRBXrayFlareCatalog']"
"unified radio and plasma wave experiment (ulysses)","1","1","Global Change Master Directory (GCMD)","The scientific objectives of the Ulysses Unified Radio and Plasma wave (URAP) experiment are twofold: l) the determination of the direction, angular size, and polarization of radio sources for remote sensing of the heliosphere and the Jovian magnetosphere and 2) the detailed study of local wave phenomena, which determine the transport coefficients of the ambient plasma. The tracking of solar radio bursts, for example, can provide three dimensional snapshots of the large scale magnetic field configuration along which the solar exciter particles propagate. URAP observations of Jovian radio emissions should greatly improve the determination of source locations and consequently our understanding of the generation mechanism(s) of planetary radio emissions. The study of observed wave-particle interactions will improve our understanding of the processes that occur in the solar wind and at Jupiter and of radio wave generation. A brief discussion of the scientific goals of the experiment is followed by a comprehensive description of the instrument. The URAP sensors consist of a 72.5 m electric field antenna in the spin plane, a 7.5-m electric field monopole along the spin axis and a pair of orthogonal search coil magnetic antennas. The various receivers, designed to encompass specific needs of the investigation, cover the frequency range from DC to l MHz. A relaxation sounder provides very accurate electron density measurements. Radio and plasma wave observations are shown to demonstrate the capabilities and limitations of the URAP instruments: radio observations include solar bursts, auroral kilometric radiation, and Jovian bursts; plasma waves include Langmuir waves, ion acoustic-like noise and whistlers. (Abstract from: R.G. Stone et al., Astron. Astrophys. Suppl. Ser. 92, 291-316, 1992) For more information, see: http://urap.gsfc.nasa.gov/www/home.html and http://ulysses.jpl.nasa.gov/spacecraft/inst_urap.html Group: Instrument_Details Entry_ID: URAP Group: Instrument_Identification Instrument_Category: Solar/Space Observing Instruments Instrument_Class: Radio Wave Detectors Short_Name: URAP Long_Name: Unified Radio and Plasma Wave Experiment (Ulysses) End_Group Group: Instrument_Associated_Sensors Short_Name: SND Short_Name: FES Short_Name: WFA Short_Name: PFR Short_Name: RAR End_Group Group: Associated_Platforms Short_Name: ULYSSES End_Group Group: Spectral_Frequency_Information Wavelength_Keyword: Radio Number_Channels: 4 Spectral_Frequency_Coverage_Range: 1.25 kHz - 1 MHz End_Group Online_Resource: http://urap.gsfc.nasa.gov/www/home.html Online_Resource: http://ulysses-ops.jpl.esa.int/ulysses/archive/urap.html Sample_Image: http://ulysses-ops.jpl.esa.int/ulysses/images/sto_6.jpg Group: Instrument_Logistics Data_Rate: 145 kbps Instrument_Start_Date: 1990-10-06 Instrument_Owner: NASA End_Group End_Group","['Unified Radio and Plasma Wave Experiment (Ulysses)']"
"surface speed","1","1","GCMD","Ocean surface current/water flow velocity.","['EARTH SCIENCE -> OCEANS -> OCEAN CIRCULATION -> OCEAN CURRENTS -> SURFACE SPEED']"
"surface radiation research branch, air resources laboratory, oar, noaa, u.s. department of commerce","1","1","Global Change Master Directory (GCMD)","The Surface Radiation Research Branch (SRRB) of NOAAs Air Resources Laboratory has been located in Boulder, Colorado since its inception in 1993. Staffed by national and international scientists, SRRB conducts research in many aspects of solar radiation at the earths surface. Our primary emphasis is providing quality surface radiation measurements and, in cooperation with NIST and the USDA, operating the Central Calibration and Test Facility for national UV monitoring instruments. Other efforts at SRRB include research on the effects of surface UV radiation, improvement of surface radiation instruments and observing techniques, development of improved calibration and data quality control techniques, support for other national and international data collection programs, management of surface radiation networks, and basic research. Website: http://www.srrb.noaa.gov/ [Summary provided by NOAA]","['Surface Radiation Research Branch, Air Resources Laboratory, OAR, NOAA, U.S. Department of Commerce']"
"surface radiation budget network","1","1","Global Change Master Directory (GCMD)","To understand the global surface energy budget is to understand climate. Because it is impractical to cover the earth with monitoring stations, the answer to global coverage lies in reliable satellite-based estimates. Efforts are underway at NASA and universities to develop algorithms to do this, but such projects are in their infancy. In concert with these ambitious efforts, accurate and precise ground-based measurements in differing climatic regions are essential to refine and verify the satellite-based estimates, as well as to support specialized research. To fill this niche, the Surface Radiation Budget Network (SURFRAD) was established in 1993 through the support of NOAAs Office of Global Programs. The SURFRAD mission is clear; its primary objective is to support climate research with accurate, continuous, long-term measurements of the surface radiation budget over the United States. This differs from DOEs ARM/SGP site, where surface radiation budget measurements are also being made, in that ARM uses clustered measurements over a limited area for process-oriented studies.","['Surface Radiation Budget Network']"
"surface radiation budget","1","1","Global Change Master Directory (GCMD)","Scientific Objectives: Surface radiation budget data have the potential for contributing significantly to improved understanding of the four major components of the climate system: the oceans, the land surface, the cryosphere, and the atmosphere. Radiative fluxes into the ocean surface provide an important boundary forcing for the ocean general circulation. Furthermore, since the radiative fluxes into the ocean surface are significantly modulated by boundary layer parameters (e.g., clouds, atmospheric humidity, and temperature), SRB may be an important factor in air-sea interactions. With respect to the land surface, the net radiative balance governs the turbulent fluxes of latent and sensible heat from the surface into the atmosphere. Surface radiative fluxes are also needed for studies related to the energy and water balance of plant canopies. For the cryosphere, the pack ice and its interaction with surface temperature and solar radiation provides the so-called ice-albedo feedback which is a vital component governing climate trends on decadal to longer time scales. Finally, the knowledge of SRB together with top-of-atmosphere Earth radiation budget data can yield, for the first time, observational estimates of tropospheric radiative heating and cloud radiative forcing. Project Description: The Surface Radiation Budget (SRB) data sets are derived from a variety of data sources. The primary data source is the International Satellite Cloud Climatology Project (ISCCP) C1 data product. Using the ISCCP C1 parameters as input, SRB results are generated using two different algorithms. The Pinker algorithm (developed jointly by Drs. R.T. Pinker and I. Laszlo form the University of Maryland) is a physical model which uses an iterative procedure based on delta-Eddington radiative transfer calculations. The Staylor algorithm (developed by Mr. W.F. Staylor from the NASA Langley Research Center) is a parameterized physical model in which both cloud and aerosol transmission characteristics have been separately tuned to historical data at various locations around the globe. Earth Radiation Budget Experiment (ERBE) data are also used as input to the models, as well as for top-of-atmosphere (TOA) irradiance comparisons with the Pinker Model output. The Swiss Federal Institute of Technology, Zurich, provides ground-truth fluxes from the Global Energy Budget Archive (GEBA). These data are used for validation of the Pinker and Staylor calculated downward shortwave surface irradiances. SRB uses the same equal area grid system as that used by ISCCP for its C1 product. The equal-area grid contains 6596 cells covering the globe; where a cell is approximately 280 km x 280 km at the equator. Data Products ------------- The SRB data package consists of daily and monthly shortwave parameters covering a forty-six month period from March 1985 through December 1988. The principle parameters in the data sets are Pinker and Staylor calculated irradiances for the surface and top-of-atmosphere. The total SRB data package for each month consists of six files. The first file is the ASCII header file, named README.MMMYY. The second and third files are ASCII showing Fortran listings of the Pinker and Staylor algorithms (PINKER.FOR and STAYLOR.FOR, respectively). The fourth and fifth files are binary data files in HDF format. The fourth file is the monthly binary file and presents monthly average gridded values for 52 different items in each cell (srb_monavgs_yymm). The fifth file is the daily binary file and presents 24-hr daily average values for 10 key items in each cell (srb_dayavgs_yymm). The sixth file (b_srb_monavgs_yymm.hdf) is a graphics file which contains 19 global images in HDF format. The intent is to allow the user to quickly browse the most important SRB parameters without the requirement to read the entire data set. Project Archive Contact: Langley DAAC User Services Office Mail Stop 157D NASA Langley Research Center Hampton, VA 23681-0001 USA Phone: (757) 864-8656 FAX: (757) 864-8807 Email: INTERNET > larc@eos.nasa.gov WWW Home Page: http://eosweb.larc.nasa.gov/ Project Manager Contact: Dr. Charles H. Whitlock NASA Langley Research Center MS 936 Hampton, VA 23681-0001 USA Phone: (757) 827-4882 FAX: (757) 864-7996 Email: INTERNET > c.h.whitlock@larc.nasa.gov References: The Astronomical Almanac, Nautical Almanac Office, U. S. Naval Observatory, Washington, D. C., 1985, 1980. Briegleb, B. P., P. Minnis, V. Ramanathan and E. Harrison, 1986: Comparison of regional clear-sky albedos inferred from satellite observations and model calculations. J. Climate Appl. Meteor., 25, 214-226. Darnell. W. L., W. F. Staylor, S. K. Gupta, and F. M. Denn, 1988: Estimation of surface insolation using Sun-synchronous satellite data. J. Clim., 1, 820-835. DiPasquale, R.C., and C.H. Whitlock, 1993: First WCRP Long-Term Satellite Estimates of Surface Solar Flux for the Globe and Selected Regions, Proceedings of the ERIM/JOANNEUM RESEARCH/CIESIN 25th International Symposium on Remote Sensing and Global Environmental Change. Graz, Austria, April 4-8, 1993. Environmental Research Institute of Michigan, Ann Arbor, Michigan. Hoyt, D. V., 1978: A model for the calculation of solar global insolation. Sol. Energy, 21, 27-35. Kneizys, F., E. Shettle, W. Gallery, J. Chetwynd, L. Abreu, J. Selby, R. Fenn and R. McClatchey, 1980: Atmospheric transmittance/ radiance: Computer code LOWTRAN5. Rep. AFGL-Tr-80-67, Air Force Geophysics Laboratory, Hanscomb AFB, MA, 127 pp. Lacis, A. A., and J. E. Hansen, 1978: A parameterization for the absorption of solar radiation in the Earths atmosphere. J. Atmos. Sci, 31, 118-133. Lacis, A. A. and J. E. Hansen, 1974: A parameterization for the absorption of solar radiation in the earths atmosphere. J. Atmos. Sci., 31, 118-133. Pinker, R. T. and I. Laszlo, 1992: Modeling surface solar irradiance for satellite applications on a global scale. J. Appl. Meteor., February issue. Pinker, R. and J. Ewing, 1985: Modeling surface solar radiation: Model formulation and validation. J. Climate Appl. Meteor., 24, 389-401. Schiffer, R. A. ,and W. B. Rossow, 1983: The International Satellite Cloud Climatology Project (ISCCP): The first project of the World Climate Research Programme. Bull. Amer. Met. Soc., 64, 779-784. Smith, W. L., H. M. Woolf, C. M. Hayden, D. Q. Wark, and L. M. McMillin, 1979: The Tiros-N operational vertical sounder. Bull. Amer. Met. Soc., 60, 1177-1187. Staylor, W. F., and A. C. Wilber, 1990: Global surface albedos estimated from ERBE data. Proceedings of AMS Conf. on Atmospheric Radiation, July 23-27, 1990, San Francisco, CA, pp 231-236. Staylor, W. F., 1985: Reflection and emission models for clouds derived from Nimbus 7 Earth radiation budget scanner measurements. JGR, 90, 8075-8079. Stephens, G. L., S. Ackerman and E. Smith, 1984: A shortwave parameterization revised to improve cloud absorption. J. Atmos. Sci., 41, 687-690. Suttles, J.T., and G. Ohring, 1986: Surface Radiation Budget for Climatic Applications. NASA Reference Publication 1169, NASA. WCP-55, 1983: World Climate Research report of the experts meeting on aerosols and their climatic effects. Williamsburg, Virginia, 28-30 March 1983, A. Deepak and H. E. Gerber, Eds., 107 pp. Whitlock, C.H., Charlock T.P., Staylor, W.F., Pinker, R.T., Laszlo, L., DiPasquale, R.C., and N.A. Ritchey, 1993: WCRP Surface Radiation Budget Shortwave Data Product Description - Version 1.1. NASA Technical Memorandum 107747, National Technical Information Service, Springfield, Virginia. Wiscombe, W. J., R. M. Welch and W. D. Hall, 1984: The effects of very large drops on cloud absorption. Part I: Parcel models. J. Atmos. Sci., 41, 1336-1355. WCRP, 1983: Experts meeting on aerosols and their climate effects. A. Deepak and H. E. Gerber editors, WCP-55, 107 pp. WMO.TD-No. 266, Revised March 1991, 25 pp. Yamamoto, G., 1962: Direct absorption of solar radiation by atmospheric water vapor, carbon dioxide, and molecular oxygen. J. Atmos. Sci., 19, 182-188.","['Surface Radiation Budget']"
"surface processes","1","0","Unified Astronomy Thesaurus (UAT)","","['Surface processes']"
"united kingdom multi-mission processing and archiving facility","1","0","Global Change Master Directory (GCMD)","","['United Kingdom Multi-Mission Processing and Archiving Facility']"
"surface momentum flux","1","1","GCMD","Transfer of momentum across the interfaces between the atmosphere and the ocean or land.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERE/SURFACE INTERACTIONS -> SURFACE MOMENTUM FLUX']"
"surface moisture flux","1","1","GCMD","Transfer of moisture across the interface between the atmosphere and the ocean or land surface due to precipitation and evaporation, including interactions with soil water content and surface water.","['EARTH SCIENCE -> ATMOSPHERE -> ATMOSPHERE/SURFACE INTERACTIONS -> SURFACE MOISTURE FLUX']"
"united states joint global ocean flux study","1","2","Global Change Master Directory (GCMD)","The U.S. JGOFS program, a component of the U.S Global Change Research Program, grew out of the recommendations of a National Academy of Sciences workshop in 1984. The international program, which has more than 30 participating nations, began three years later under the auspices of the Scientific Committee on Oceanic Research (SCOR). In 1989, JGOFS became a core program of the International Geosphere-Biosphere Programme (IGBP). Summary Provided By: http://www1.whoi.edu/jgofMission.html ;; The United States Joint Global Ocean Flux Study was a national component of international JGOFS and an integral part of global climate change research. The U.S. launched the Joint Global Ocean Flux Study (JGOFS) in the late 1980s to study the ocean carbon cycle. An ambitious goal was set to understand the controls on the concentrations and fluxes of carbon and associated nutrients in the ocean. A new field of ocean biogeochemistry emerged with an emphasis on quality measurements of carbon system parameters and interdisciplinary field studies of the biological, chemical and physical process which control the ocean carbon cycle. As we studied ocean biogeochemistry, we learned that our simple views of carbon uptake and transport were severely limited, and a new wave of ocean science was born. U.S. JGOFS has been supported primarily by the U.S. National Science Foundation in collaboration with the National Oceanic and Atmospheric Administration, the National Aeronautics and Space Administration, the Department of Energy and the Office of Naval Research. U.S. JGOFS, ended in 2005 with the conclusion of the Synthesis and Modeling Project (SMP).","['United States Joint Global Ocean Flux Study']"
"surface current radar","1","1","Global Change Master Directory (GCMD)","Operating in the HF band of the electromagnetic spectrum, a long range RADAR remotely senses surface currents up to 100 miles offshore.","['Surface Current Radar']"
"surf beat","1","1","GCMD","The pattern of constructive and destructive interference thatcauses successive breaking waves to grow, shrink, and grow again over afew minutes' time.","['EARTH SCIENCE -> OCEANS -> OCEAN WAVES -> SURF BEAT']"
"subduction zone processes","1","0","AGU Index Terms","","['Subduction zone processes']"
"subauroral ionosphere","1","0","Unified Astronomy Thesaurus (UAT)","","['Heliophysics -> Solar-planetary interactions -> Planetary ionospheres -> Earth ionosphere -> Subauroral ionosphere']"
"technological process","1","0","GEMET","","['technological process']"
"stellar flares","1","0","Unified Astronomy Thesaurus (UAT)","","['Stellar flares']"
"valley wind","1","1","Semantic Web for Earth and Environment Technology Ontology","A wind that ascends a mountain valley (upvalley wind) during the day; the daytime component of a mountain?valley wind system.","['valley wind']"
"stereo_b__swaves","1","0","HELIO Ontology","","['STEREO_B__SWAVES']"
"stereo_a__swaves","1","0","HELIO Ontology","","['STEREO_A__SWAVES']"
